;jan/13;fev/13;mar/13;abr/13;mai/13;jun/13;jul/13;ago/13;set/13;out/13;nov/13;dez/13;jan/14;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18;fev/18;mar/18;abr/18;mai/18;jun/18;jul/18;ago/18;set/18;out/18;nov/18;dez/18;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19;jan/20;fev/20;mar/20;abr/20;mai/20;jun/20;jul/20;ago/20;set/20;out/20;nov/20;dez/20;jan/21;fev/21;mar/21;abr/21;mai/21
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NºÓBITOS;64;38;57;37;57;54;66;66;58;53;34;56;62;39;49;39;63;77;55;60;65;57;49;67;60;46;52;56;73;56;51;61;77;53;60;59;64;59;59;42;49;55;60;61;55;48;61;64;54;39;62;46;48;34;40;31;38;37;45;48;47;26;36;37;46;54;36;44;33;38;33;47;39;38;48;56;61;33;38;45;46;53;53;45;50;53;61;73;86;43;30;24;53;45;54;72;63;40;33;67;58
Pac-dia;1991;1803;1949;1934;1949;1925;1987;1974;1869;1930;1778;1867;1892;1650;1878;1800;1944;1798;2000;2003;1897;1885;1827;1825;1839;1638;1792;1847;1943;1809;1882;1877;1944;1879;1889;1855;1960;1799;1899;1930;1981;1912;2009;1918;1859;2019;1819;1753;1907;1757;1960;1752;1839;1889;1965;1961;1878;1930;1788;1906;1797;1547;1848;1872;1912;1870;1907;1865;1661;1808;1776;1703;1843;1626;1778;1941;1826;1759;1774;1767;1722;1853;1761;1872;1911;1795;1815;1691;1853;959;1081;1246;1438;1458;1448;1821;1587;1277;1516;1831;1777
NºERC;0;2;1;4;2;3;4;5;4;8;8;8;3;1;7;2;10;9;16;9;8;15;10;22;10;14;11;11;19;20;19;21;14;10;19;20;17;14;10;11;21;8;5;4;6;15;6;6;14;6;5;5;9;6;1;3;8;2;5;6;11;7;4;1;8;6;9;8;9;9;7;11;8;13;15;12;22;17;12;13;12;8;7;10;11;12;11;10;20;2;7;9;6;14;13;15;14;13;13;16;26
No PaR a carba;6;4;7;12;6;8;8;6;11;6;3;8;4;12;9;12;7;7;8;10;12;6;3;5;12;3;10;13;16;13;21;8;9;12;11;5;9;13;10;12;12;12;10;4;6;9;6;3;13;5;14;6;8;5;8;9;2;8;5;10;12;9;11;5;11;11;10;7;4;2;0;0;1;4;1;1;1;4;4;2;2;4;3;5;8;2;6;3;3;3;3;3;5;4;1;3;0;2;5;5;7
No ESBL;6;11;16;11;4;10;5;5;6;4;12;8;8;9;11;8;3;10;9;16;7;6;10;8;8;14;14;12;8;8;8;13;8;13;12;13;15;11;16;14;19;8;23;4;12;10;10;6;18;12;10;14;8;12;24;6;10;18;8;6;16;6;12;17;22;10;20;19;10;22;14;12;27;11;9;10;14;8;8;16;6;4;5;7;16;7;7;3;5;1;0;2;2;4;3;2;1;3;1;4;3
Entradas;182;209;249;253;338;229;270;286;234;258;223;249;254;217;232;256;275;272;221;243;255;284;272;249;251;211;237;249;278;227;239;262;245;228;251;290;265;268;282;264;303;305;307;320;259;246;281;291;281;222;268;246;277;263;255;268;242;277;258;268;295;222;280;276;246;281;231;226;242;259;256;267;258;265;259;259;295;251;262;270;244;296;293;269;300;277;267;262;194;185;213;220;237;276;298;278;236;227;210;186;256
Entradas por COVID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;178;194;87;52;55;46;38;94;156;134;62;62;74;99
Pac-dia COVID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;1261;1853;607;163;231;252;274;468;1194;1102;323;419;767;742
